director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,combine
"Rob Minkoff, Mark Koetsier",Michael Cera,Ricky Gervais,Mel Brooks,Family Comedy Animation Action,paws of fury: the legend of hank,"Michael Cera Ricky Gervais Mel Brooks Rob Minkoff, Mark Koetsier Family Comedy Animation Action"
Olivia Newman,Daisy Edgar-Jones,Taylor John Smith,Harris Dickinson,Drama Mystery Thriller,where the crawdads sing,Daisy Edgar-Jones Taylor John Smith Harris Dickinson Olivia Newman Drama Mystery Thriller
Anthony Fabian,Lesley Manville,Isabelle Huppert,Lambert Wilson,Comedy Drama,mrs. harris goes to paris,Lesley Manville Isabelle Huppert Lambert Wilson Anthony Fabian Comedy Drama
Carrie Cracknell,Dakota Johnson,Cosmo Jarvis,Nikki Amuka-Bird,Romance Drama Comedy,persuasion,Dakota Johnson Cosmo Jarvis Nikki Amuka-Bird Carrie Cracknell Romance Drama Comedy
Eli Horowitz,Winona Ryder,Dermot Mulroney,John Gallagher Jr.,Mystery Thriller,gone in the night,Winona Ryder Dermot Mulroney John Gallagher Jr. Eli Horowitz Mystery Thriller
Kyle Newman,Paris Berelc,Taylor Zakhar Perez,Hari Nef,Comedy,1up,Paris Berelc Taylor Zakhar Perez Hari Nef Kyle Newman Comedy
Mike Burns,Ashley Greene,Bruce Willis,unknown,Action Crime Thriller,wrong place,Ashley Greene Bruce Willis unknown Mike Burns Action Crime Thriller
Hannah Marks,John Cho,Mia Isaac,unknown,Drama,don't make me go,John Cho Mia Isaac unknown Hannah Marks Drama
Jacob Aaron Estes,Iris Serena Estes,Lucas Steel Estes,unknown,Horror,he's watching,Iris Serena Estes Lucas Steel Estes unknown Jacob Aaron Estes Horror
Jordan Peele,Daniel Kaluuya,Keke Palmer,Steven Yeun,Horror Mystery Science Fiction Thriller,nope,Daniel Kaluuya Keke Palmer Steven Yeun Jordan Peele Horror Mystery Science Fiction Thriller
Billy Porter,Eva Reign,Abubakr Ali,Renée Elise Goldsberry,Romance Comedy Drama,anything's possible,Eva Reign Abubakr Ali Renée Elise Goldsberry Billy Porter Romance Comedy Drama
Katie Holmes,Katie Holmes,Jim Sturgess,Derek Luke,Drama Romance,alone together,Katie Holmes Jim Sturgess Derek Luke Katie Holmes Drama Romance
Jared Stern,Dwayne Johnson,Kevin Hart,Kate McKinnon,Animation Action Family Comedy Science Fiction,dc league of super-pets,Dwayne Johnson Kevin Hart Kate McKinnon Jared Stern Animation Action Family Comedy Science Fiction
Ron Howard,Viggo Mortensen,Colin Farrell,Joel Edgerton,Drama Thriller Action Adventure,thirteen lives,Viggo Mortensen Colin Farrell Joel Edgerton Ron Howard Drama Thriller Action Adventure
B. J. Novak,B. J. Novak,Boyd Holbrook,Dove Cameron,Action Fantasy,vengeance,B. J. Novak Boyd Holbrook Dove Cameron B. J. Novak Action Fantasy
Lena Dunham,Kristine Froseth,Jon Bernthal,Luka Sabbat,Comedy,sharp stick,Kristine Froseth Jon Bernthal Luka Sabbat Lena Dunham Comedy
Quinn Shephard,Zoey Deutch,Mia Isaac,Nadia Alexander,Comedy Drama,not okay,Zoey Deutch Mia Isaac Nadia Alexander Quinn Shephard Comedy Drama
Anna Gutto,Juliette Binoche,Frank Grillo,Hala Finley,Thriller Crime Drama,paradise highway,Juliette Binoche Frank Grillo Hala Finley Anna Gutto Thriller Crime Drama
Andrew Semans,Rebecca Hall,Grace Kaufman,Michael Esper,Horror Thriller,resurrection,Rebecca Hall Grace Kaufman Michael Esper Andrew Semans Horror Thriller
